siteid,sitename,Gage_Statu,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,gnisid_med,rchcd_medr,comid_medr,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,GageGap_St,Reactivate,Gage_Histo,AddFlow_2s,AddFlow_2W,AddTelemet,AddTemp_2F,Infrastruc,waterbody,Tier,Primary_Be,SB19_Actio,CNRFC,reference_,refpotenti,ecosysmgmt,wtrsupply,wtrquality,pubsafety,geometry,siteid_str
ACZ,ALHAMBRA CREEK AT D STREET,Active-Limited Use,OTHER,CDEC,Active,Y,1454,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,42.8499,16.54443209,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACZ,,18050001006347,948050078,Suisun Bay,18050001,Mount Diablo Creek-Frontal Suisun Bay Estuaries,1805000103,Arroyo del Hambre-Frontal Suisun Bay Estuaries,180500010303,AWG,N,0,Y,N,N,Y,,,3,ecosystem,Upgrade,,,,B,,,,POINT (-186755.00400000066 645.9820000007749),ACZ
AMC,ARCADE CREEK AT WINDING WAY,Active-Limited Use,OTHER,CDEC,Active,Y,9223,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Winter storms (WS),Stream/River - Perennial,76.1904,29.41726582,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMC,218341,18020111000048,15022615,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,180201110302,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-117140.12350000069 70762.29810000025),AMC
ANH,SAN JOAQUIN RIVER AT ANTIOCH,Active-Limited Use,DWR,CDEC,Active,Y,13514,Active,Y,N,0,,N,Y,8752,Active,Y,Y,9496,Active,Y,7,Groundwater (GW),Artificial Path,107113.5387,41356.7515191,https://waterdata.usgs.gov/nwis/inventory/?site_no=ANH&agency_cd=USGS,273488,18040003000002,1889652,San Joaquin Delta,18040003,Middle River-San Joaquin River,1804000309,Markley Canyon-San Joaquin River,180400030907,AWG,N,0,Y,Y,N,N,,,3,multi-benefit,Upgrade,Model,,,B,,B,Y,POINT (-158069.02070000023 1665.8425999991596),ANH
ARD,ARCADE CREEK AT SUNRISE BLVD,Active-Limited Use,OTHER,CDEC,Active,Y,8739,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Winter storms (WS),Stream/River - Perennial,13.2111,5.10083213,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARD,218341,18020111000058,15022465,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,180201110302,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-110483.65900000185 74995.7974999994),ARD
ARW,ARDEN WAY,Active-Limited Use,OTHER,CDEC,Active,Y,9223,Active,Y,N,0,,N,N,0,,N,N,0,,N,1,,Stream/River - Perennial,14.0544,5.42643195,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARW,233663,18020111000066,15022723,Lower American,18020111,American River,1802011102,Lower American River,180201110202,AWG,N,0,Y,N,N,Y,,,3,multi-benefit,Upgrade,,,,B,B,B,,POINT (-122935.92799999937 65350.71910000034),ARW
BAN,BEAR CANYON CK AT ANDERSON SPRINGS RD,Active-Limited Use,USGS,NWIS,Active,Y,1887,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Perennial groundwater and rain (PGR),Stream/River - Perennial,22.5594,8.71022946,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BAN,218796,18020162003311,8015301,Upper Putah,18020162,Upper Putah Creek,1802016203,Dry Creek-Putah Creek,180201620302,AWG,N,0,Y,N,N,Y,,,2,multi-benefit,High Priority - Add Water Temperature,,,,,B,,,POINT (-233268.28339999914 87640.02089999989),BAN
BBD,BUTTE CREEK NEAR DE SABLA,Active-Limited Use,DWR,CDEC,Active,Y,7891,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,260.5815,100.61103831,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBD,266522,18020158006718,2770154,Butte Creek,18020158,Middle Butte Creek,1802015802,Lake De Sabla-Butte Creek,180201580202,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,B,Y,B,,POINT (-138903.9673999995 210560.41410000063),BBD
BBQ,STONEY CK BLW BLACK BUTTE DAM,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,N,0,,N,N,0,,N,Y,3998,Active,Y,6,"Flashy, ephemeral rain (FER)",Stream/River - Intermittent,1921.4037,741.85781138,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBQ,267782,18020115019247,12074518,Upper Stony,18020115,Lower Stony Creek,1802011506,Black Butte Dam-Stony Creek,180201150603,AWG,N,0,Y,Y,N,N,,,1,multi-benefit,Upgrade,,,,,B,,,POINT (-198846.3311999999 202708.00760000013),BBQ
BCQ,CHOWCHILLA R BLW BUCHANAN DAM,Active-Limited Use,OTHER,CDEC,Active,Y,3989,Active,Y,N,0,,N,N,0,,N,Y,3989,Active,Y,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,606.186,234.04962697,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BCQ,255078,18040001110622,17100939,Middle San Joaquin-Lower Chowchilla,18040001,Lower Chowchilla River,1804000107,Raynor Creek-Chowchilla River,180400010703,AWG,N,0,Y,Y,N,N,,,2,multi-benefit,Upgrade,,,,,B,,,POINT (857.6642999984324 -88989.78839999996),BCQ
BDH,BUTTE CK NR DURHAM BLW GORRILL DAM,Active-Limited Use,DWR,CDEC,Active,Y,1890,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,406.8279,157.07706585,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDH,266522,18020158005890,1679005,Butte Creek,18020158,Middle Butte Creek,1802015802,Durham Slough-Butte Creek,180201580205,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,B,Y,,,POINT (-153214.92060000077 177714.1978999991),BDH
