date,ref_gages
2010-12-20,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-21,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-22,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-23,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-24,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-25,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-26,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-27,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-28,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-29,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-30,"[11414700, 11414100, 11408000, 11407815, 11416000]"
2010-12-31,"[11414700, 11414100, 11408000, 11407815, 11416000]"
